doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence;source
0;08.03.26 07:15;Today’s mood: dressed to impress ✨ #fashion #style #ootd #instafashion;https://images.unsplash.com/photo-1784031208107-f489c769e1f9?q=80&w=774&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;;47;0;2;Maeve;styledbymaeve;Everyday outfits, thrifted finds & too much coffee ☕;https://images.unsplash.com/photo-1784031208111-08c93aa8710b?q=80&w=774&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;1420;0;0;;su;;https://unsplash.com/photos/young-woman-with-dramatic-makeup-and-a-red-fur-coat-0qPLOPl2BR8
2;08.11.26 18:45;A little color can change the whole day 🌈 #fashion #colorfulstyle #outfitinspo #style;https://images.unsplash.com/photo-1761662989149-7c2bf5c5c95b?q=80&w=928&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;;326;0;6;Jules;wearsbyjules;Getting dressed is the best part of my day 👗 NYC style diary.;https://images.unsplash.com/photo-1761828392021-c6a53e7fee86?q=80&w=930&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;9750;0;0;;su;;https://unsplash.com/photos/woman-with-braids-and-yellow-sunglasses-on-beach-XiKhg67JznQ
7;08.27.26 06:40;Good shoes take you good places 👠 #fashion #shoestyle #accessories #fashiondetails;https://images.unsplash.com/photo-1786473354613-1f45539514e9?q=80&w=774&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;;67308;67;386;Neutral Notes;neutralnotes;A study in neutral tones 🤍 Minimal wardrobes, timeless pieces & considered living.;https://images.unsplash.com/photo-1784153626168-f4ab0548a824?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;2489000;0;0;;su;;https://unsplash.com/photos/woman-and-child-in-camper-doorway-YsLCEULViPg
10;09.01.26 06:25;Details make all the difference ✨ #fashion #styledetails #accessorize #styleinspiration;https://images.unsplash.com/photo-1763913086848-f00f86f598a8?q=80&w=930&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;;9846;10;91;Mika;streetstylemika;Documenting what the city wears 📍 Street style, emerging designers & culture.;https://images.unsplash.com/photo-1767898498032-584ec27ccde6?q=80&w=928&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;351600;0;0;;su;;https://unsplash.com/photos/man-in-white-shirt-shows-clenched-fists-outdoors-WVEb4Hav3AQ
12;09.05.26 20:05;Trending looks and casual essentials. Update your closet with these top Amazon finds.;https://scontent-bru2-1.xx.fbcdn.net/v/t39.35426-6/521322717_1109016547833035_237572979876903351_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=HtPVifJVslkQ7kNvwGUK12O&_nc_oc=AdoLnRK38hOOMoN3Yy85bDSMegEt42Uh4OFyvmg8JeQdmXZGtmunZEma9xYtViank3I&_nc_zt=14&_nc_ht=scontent-bru2-1.xx&_nc_gid=ymLHl4_I6y4gPOuAQ9YQKA&_nc_ss=78289&oh=00_AQLUcpgt33LduAwEObZphrxhJT2p6RoDgImIvGmcH32N8Q&oe=6AA5BD40;;2847;3;31;Amazon Fashion;amazonfashion;We send the looks but you deliver 🔥 Tag or use #amazonfashion to be featured!;https://scontent-bru2-1.xx.fbcdn.net/v/t39.35426-6/523818348_788409723844227_4677026774188576720_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=OFINND9xqO4Q7kNvwE_2y1M&_nc_oc=Adp95-5mdXt5PgYzvY3lzCDDTBTnym8xWIGrAgQrTHSiWIblWSupgYR5NcsOcoP86ns&_nc_zt=14&_nc_ht=scontent-bru2-1.xx&_nc_gid=ymLHl4_I6y4gPOuAQ9YQKA&_nc_ss=78289&oh=00_AQK7WYztqy7-YQuLFwWKgPq9vhh0NHwTUD4oeTtSU7V1HQ&oe=6AA5BEFD;4400000;0;1;https://l.facebook.com/l.php?u=https://www.amazon.com/dp/B0CBQ225MK?smal=en_US&ref_=pfb_spv01_65baa92231f6752a3dc315d56465f26b&h=AUAiH45Dhb18npz--GO_y2MdREkXEKSrmSUz-kTYcvAlI2jewqIU1AryCfw1Rh58Vzljm1MhTLxPjHG48l56SEZkxloV024ckYEexlBW7PVjpPk6jmI6qP380MJDQGlsdS2TSXcJG3qA1Xj5KX3KpBRdvks;su;;https://www.facebook.com/ads/library/?id=1343075770883178
14;09.08.26 16:50;Built to last. Made sustainably 🌱;https://frankfurtschool.qualtrics.com/CP/Graphic.php?IM=IM_MSTL6VQXwSM4dxZ;;386;0;6;Nomos;nomos;We believe in the power of sustainability!;https://raw.githubusercontent.com/majafors/DICE/refs/heads/main/14_Stimuli_Nomos.png;8600;0;0;;su;2;
15;08.03.26 07:15;Today’s mood: dressed to impress ✨ #fashion #style #ootd #instafashion;https://images.unsplash.com/photo-1784031208107-f489c769e1f9?q=80&w=774&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;;47;0;2;Maeve;styledbymaeve;Everyday outfits, thrifted finds & too much coffee ☕;https://images.unsplash.com/photo-1784031208111-08c93aa8710b?q=80&w=774&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;1420;0;0;;tr;;https://unsplash.com/photos/young-woman-with-dramatic-makeup-and-a-red-fur-coat-0qPLOPl2BR8
17;08.11.26 18:45;A little color can change the whole day 🌈 #fashion #colorfulstyle #outfitinspo #style;https://images.unsplash.com/photo-1761662989149-7c2bf5c5c95b?q=80&w=928&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;;326;0;6;Jules;wearsbyjules;Getting dressed is the best part of my day 👗 NYC style diary.;https://images.unsplash.com/photo-1761828392021-c6a53e7fee86?q=80&w=930&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;9750;0;0;;tr;;https://unsplash.com/photos/woman-with-braids-and-yellow-sunglasses-on-beach-XiKhg67JznQ
22;08.27.26 06:40;Good shoes take you good places 👠 #fashion #shoestyle #accessories #fashiondetails;https://images.unsplash.com/photo-1786473354613-1f45539514e9?q=80&w=774&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;;67308;67;386;Neutral Notes;neutralnotes;A study in neutral tones 🤍 Minimal wardrobes, timeless pieces & considered living.;https://images.unsplash.com/photo-1784153626168-f4ab0548a824?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;2489000;0;0;;tr;;https://unsplash.com/photos/woman-and-child-in-camper-doorway-YsLCEULViPg
25;09.01.26 06:25;Details make all the difference ✨ #fashion #styledetails #accessorize #styleinspiration;https://images.unsplash.com/photo-1763913086848-f00f86f598a8?q=80&w=930&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;;9846;10;91;Mika;streetstylemika;Documenting what the city wears 📍 Street style, emerging designers & culture.;https://images.unsplash.com/photo-1767898498032-584ec27ccde6?q=80&w=928&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA==;351600;0;0;;tr;;https://unsplash.com/photos/man-in-white-shirt-shows-clenched-fists-outdoors-WVEb4Hav3AQ
